name,price,rating,category,image_url,upc,url,scraped_at
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,Default,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,0312262ecafa5a40,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2025-08-25 01:21:24
Shakespeare's Sonnets,Â£20.66,Four,Poetry,https://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,30a7f60cd76ca58c,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2025-08-25 01:21:25
Set Me Free,Â£17.46,Five,Young Adult,https://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,ce6396b0f23f6ecc,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2025-08-25 01:21:27
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,Sequential Art,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2025-08-25 01:21:28
Rip it Up and Start Again,Â£35.02,Five,Music,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,a34ba96d4081e6a4,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2025-08-25 01:21:30
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,Music,https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,deda3e61b9514b83,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2025-08-25 01:21:31
Olio,Â£23.88,One,Poetry,https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,feb7cc7701ecf901,https://books.toscrape.com/catalogue/olio_984/index.html,2025-08-25 01:21:33
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,Science Fiction,https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,e30f54cea9b38190,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2025-08-25 01:21:34
Libertarianism for Beginners,Â£51.33,Two,Politics,https://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,a18a4f574854aced,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2025-08-25 01:21:35
It's Only the Himalayas,Â£45.17,Two,Travel,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2025-08-25 01:21:37
